月份,地市,小区ECI,基站ID,小区CI,场景,大数据平台场景,厂家,是否为高负荷待扩容小区,有效栅格数,存在重叠的小区ECI,重叠栅格数,栅格重叠百分比
2018/4/1,XINXIANG,64060417,250236,1,大网,低层居民区,华为,是,118,63850240,28,23.73
2018/4/1,XINXIANG,67279492,262810,132,大网,高层居民区,华为,是,625,193427840,234,37.44
2018/4/1,XINXIANG,12331266,48169,2,大网,高层居民区,华为,是,365,63900673,110,30.14
2018/4/1,XINXIANG,12330752,48167,0,大网,低层居民区,华为,是,168,235232384,80,47.62
2018/4/1,XINXIANG,235233924,918882,132,大网,低层居民区,华为,是,454,235232384,104,22.91
2018/4/1,XINXIANG,235166850,918620,130,大网,低层居民区,华为,是,157,235255171,52,33.12
2018/4/1,XINXIANG,67239040,262652,128,大网,低层居民区,华为,是,440,11964929,130,29.55
2018/4/1,XINXIANG,193362816,755323,128,大网,低层居民区,华为,是,107,26979410,34,31.78
2018/4/1,XINXIANG,235166848,918620,128,大网,低层居民区,华为,是,241,63868673,155,64.32
2018/4/1,XINXIANG,193362816,755323,128,大网,低层居民区,华为,是,107,60827394,56,52.34
2018/4/1,XINXIANG,60867586,237764,2,大网,低层居民区,华为,是,373,60867595,121,32.44
2018/4/1,XINXIANG,60867586,237764,2,大网,低层居民区,华为,是,373,12347649,116,31.1
2018/4/1,XINXIANG,64060417,250236,1,大网,低层居民区,华为,是,118,12326913,26,22.03
2018/4/1,XINXIANG,235320192,919219,128,大网,高层居民区,华为,是,275,33439233,80,29.09
2018/4/1,XINXIANG,60873218,237786,2,大网,低层居民区,华为,是,343,12331265,71,20.7
2018/4/1,XINXIANG,60873218,237786,2,大网,低层居民区,华为,是,343,193510272,73,21.28
2018/4/1,XINXIANG,12330752,48167,0,大网,低层居民区,华为,是,168,67296134,71,42.26
2018/4/1,XINXIANG,67196034,262484,130,大网,低层居民区,华为,是,501,64046336,118,23.55
2018/4/1,XINXIANG,193362816,755323,128,大网,低层居民区,华为,是,107,70875281,23,21.5
2018/4/1,XINXIANG,235233924,918882,132,大网,低层居民区,华为,是,454,12375048,100,22.03
2018/4/1,XINXIANG,193362816,755323,128,大网,低层居民区,华为,是,107,60827138,69,64.49
2018/4/1,XINXIANG,12375297,48341,1,大网,低层居民区,华为,是,431,11984384,101,23.43
2018/4/1,XINXIANG,12331266,48169,2,大网,高层居民区,华为,是,365,11984384,111,30.41
2018/4/1,XINXIANG,60867586,237764,2,大网,低层居民区,华为,是,373,12351751,111,29.76
2018/4/1,XINXIANG,67239040,262652,128,大网,低层居民区,华为,是,440,67239048,111,25.23
2018/4/1,XINXIANG,235320193,919219,129,大网,高层居民区,华为,是,322,63899904,98,30.43
