wucha_min_ceil,count,mean,std,min,25%,50%,75%,max
4090,2.0,10042700744.5,1611.4963543241417,10042699605.0,10042700174.75,10042700744.5,10042701314.25,10042701884.0
4091,5.0,10044145169.2,1640191.0487815742,10042701892.0,10042705729.0,10043514997.0,10045762769.0,10046040459.0
4092,3.0,10044679928.0,1711835.7561603275,10042705660.0,10044144286.5,10045582913.0,10045667062.0,10045751211.0
4093,10.0,10042711661.0,1183.4159595566275,10042709631.0,10042711252.5,10042711572.5,10042712179.25,10042713817.0
4094,2.0,10042712499.0,1285.5201281971433,10042711590.0,10042712044.5,10042712499.0,10042712953.5,10042713408.0
4096,1.0,10043686279.0,,10043686279.0,10043686279.0,10043686279.0,10043686279.0,10043686279.0
4098,1.0,10043497671.0,,10043497671.0,10043497671.0,10043497671.0,10043497671.0,10043497671.0
4099,2.0,10044746923.5,1482892.7227094008,10043698360.0,10044222641.75,10044746923.5,10045271205.25,10045795487.0
4100,1.0,10043513957.0,,10043513957.0,10043513957.0,10043513957.0,10043513957.0,10043513957.0
4101,1.0,10045786514.0,,10045786514.0,10045786514.0,10045786514.0,10045786514.0,10045786514.0
4103,1.0,10045795447.0,,10045795447.0,10045795447.0,10045795447.0,10045795447.0,10045795447.0
4105,1.0,10045803418.0,,10045803418.0,10045803418.0,10045803418.0,10045803418.0,10045803418.0
4106,1.0,10043710583.0,,10043710583.0,10043710583.0,10043710583.0,10043710583.0,10043710583.0
4108,2.0,10044680115.0,1363253.7908665428,10043716149.0,10044198132.0,10044680115.0,10045162098.0,10045644081.0
4109,1.0,10043514974.0,,10043514974.0,10043514974.0,10043514974.0,10043514974.0,10043514974.0
4110,1.0,10045823925.0,,10045823925.0,10045823925.0,10045823925.0,10045823925.0,10045823925.0
4112,1.0,10043514973.0,,10043514973.0,10043514973.0,10043514973.0,10043514973.0,10043514973.0
4113,1.0,10045852007.0,,10045852007.0,10045852007.0,10045852007.0,10045852007.0,10045852007.0
4118,2.0,10043624681.0,155151.9557143899,10043514972.0,10043569826.5,10043624681.0,10043679535.5,10043734390.0
4119,1.0,10045857894.0,,10045857894.0,10045857894.0,10045857894.0,10045857894.0,10045857894.0
4120,1.0,10045875836.0,,10045875836.0,10045875836.0,10045875836.0,10045875836.0,10045875836.0
4122,1.0,10043739738.0,,10043739738.0,10043739738.0,10043739738.0,10043739738.0,10043739738.0
4123,1.0,10043514975.0,,10043514975.0,10043514975.0,10043514975.0,10043514975.0,10043514975.0
4127,1.0,10043513955.0,,10043513955.0,10043513955.0,10043513955.0,10043513955.0,10043513955.0
4128,10.0,10045310138.1,566396.1402409782,10043751799.0,10045431558.25,10045432298.0,10045432302.5,10045893159.0
4131,2.0,10044744515.5,1394033.4419448122,10043758785.0,10044251650.25,10044744515.5,10045237380.75,10045730246.0
4132,2.0,10044497926.0,1993744.1380979656,10043088136.0,10043793031.0,10044497926.0,10045202821.0,10045907716.0
4135,5.0,10043124502.2,271903.7135691604,10042861180.0,10043044084.0,10043044283.0,10043087871.0,10043585093.0
4136,1.0,10043514969.0,,10043514969.0,10043514969.0,10043514969.0,10043514969.0,10043514969.0
4137,1.0,10045926918.0,,10045926918.0,10045926918.0,10045926918.0,10045926918.0,10045926918.0
4141,1.0,10043783424.0,,10043783424.0,10043783424.0,10043783424.0,10043783424.0,10043783424.0
4142,2.0,10045312967.0,918118.7584011123,10044663759.0,10044988363.0,10045312967.0,10045637571.0,10045962175.0
4144,2.0,10043439327.5,494925.9564626814,10043089362.0,10043264344.75,10043439327.5,10043614310.25,10043789293.0
4145,3.0,10044130121.333334,1450558.988102288,10043089363.0,10043301658.5,10043513954.0,10044650500.5,10045787047.0
4146,1.0,10045962568.0,,10045962568.0,10045962568.0,10045962568.0,10045962568.0,10045962568.0
4148,1.0,10045986804.0,,10045986804.0,10045986804.0,10045986804.0,10045986804.0,10045986804.0
4149,2.0,10044800618.0,1416815.7153278615,10043798778.0,10044299698.0,10044800618.0,10045301538.0,10045802458.0
4151,5.0,10044666068.0,61.78592072632729,10044666019.0,10044666022.0,10044666028.0,10044666131.0,10044666140.0
4153,2.0,10043659990.5,205092.7863492522,10043514968.0,10043587479.25,10043659990.5,10043732501.75,10043805013.0
4155,2.0,10046083540.5,121910.1588240291,10045997337.0,10046040438.75,10046083540.5,10046126642.25,10046169744.0
4156,1.0,10043088335.0,,10043088335.0,10043088335.0,10043088335.0,10043088335.0,10043088335.0
4157,3.0,10044064940.333334,1680677.9430546274,10043094186.0,10043094600.5,10043095015.0,10044550317.5,10046005620.0
4158,1.0,10043514966.0,,10043514966.0,10043514966.0,10043514966.0,10043514966.0,10043514966.0
